日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20121027,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2344.31,2349.78,2333.10,2339.21,,-0.47,3798.43,305.32,
20121029,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2344.31,2349.78,2333.10,2339.21,,-0.47,3798.43,305.32,
20121030,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2338.73,2356.49,2333.93,2340.41,,0.05,4199.32,331.32,
20121031,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2341.28,2354.32,2333.73,2354.32,,0.59,4451.44,340.53,
20121101,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2355.58,2399.73,2355.58,2395.23,,1.74,5728.31,475.32,
20121102,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2395.71,2405.64,2383.15,2403.97,,0.37,4767.22,384.16,
20121105,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2401.14,2410.28,2390.48,2400.40,,-0.15,4503.81,377.35,
20121106,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2399.73,2399.73,2359.30,2388.76,,-0.49,4606.70,376.34,
20121107,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2385.92,2396.75,2376.11,2386.67,,-0.09,4011.05,339.83,
20121108,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2369.19,2372.82,2343.85,2343.85,,-1.79,4368.28,351.55,
20121109,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2339.90,2347.84,2332.72,2338.44,,-0.23,3622.91,282.92,
20121112,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2340.14,2349.94,2330.37,2347.44,,0.39,4114.07,331.62,
20121113,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2347.08,2347.08,2306.42,2309.40,,-1.62,4140.14,333.45,
20121114,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2309.45,2320.67,2303.36,2319.79,,0.45,3377.31,277.12,
20121115,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2308.27,2316.35,2288.70,2288.70,,-1.34,3577.70,280.96,
20121116,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2284.62,2284.62,2258.32,2271.02,,-0.77,3621.92,292.65,
20121119,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2268.87,2268.87,2242.00,2267.96,,-0.14,3203.12,291.54,
20121120,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2272.73,2274.81,2258.34,2258.72,,-0.41,2907.27,254.80,
20121121,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2258.83,2285.80,2243.99,2285.80,,1.20,3548.34,286.79,
20121122,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2272.85,2273.88,2262.05,2266.77,,-0.83,2995.30,251.17,
20121123,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2272.48,2290.51,2268.81,2282.08,,0.68,3640.11,300.19,
20121126,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2277.51,2278.35,2264.41,2264.41,,-0.77,3096.69,254.90,
20121127,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2258.06,2258.06,2232.06,2232.06,,-1.43,3901.31,293.13,
20121128,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2224.24,2224.24,2205.69,2208.01,,-1.08,3609.56,265.99,
20121129,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2207.44,2217.75,2198.36,2198.36,,-0.44,3420.29,252.35,
20121130,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2196.95,2223.56,2196.95,2223.40,,1.14,3999.85,292.54,
20121203,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2220.86,2230.31,2189.48,2189.48,,-1.53,4383.51,350.50,
20121204,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2184.64,2214.38,2181.48,2211.85,,1.02,4366.20,346.34,
20121205,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2208.50,2296.84,2208.50,2288.36,,3.46,8967.53,708.59,
20121206,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2286.57,2296.32,2272.31,2284.13,,-0.19,5716.18,467.19,
20121207,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2284.16,2330.12,2280.23,2328.31,,1.93,8580.45,680.59,
20121210,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2335.02,2356.82,2333.81,2354.31,,1.12,8431.18,654.24,
20121211,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2346.88,2356.21,2338.25,2339.85,,-0.61,6036.80,492.47,
20121212,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2339.62,2353.86,2331.77,2348.21,,0.36,5201.40,424.24,
20121213,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2341.56,2345.54,2321.90,2321.90,,-1.12,5045.86,404.59,
20121214,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2323.95,2432.01,2323.95,2432.01,,4.74,11838.95,951.06,
20121217,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2435.94,2453.80,2435.94,2444.22,,0.50,10373.63,879.47,
20121218,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2439.12,2473.98,2429.71,2447.50,,0.13,9254.04,801.62,
20121219,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2443.47,2465.28,2441.10,2452.36,,0.20,7115.74,641.32,
20121220,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2443.82,2463.36,2430.03,2463.36,,0.45,7200.62,639.47,
20121221,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2465.47,2484.31,2446.81,2453.09,,-0.42,7609.15,690.23,
20121224,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2448.65,2471.41,2448.65,2462.22,,0.37,5789.78,553.47,
20121225,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2455.27,2535.27,2453.17,2527.79,,2.66,10263.46,901.80,
20121226,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2525.86,2539.98,2523.95,2539.98,,0.48,8523.95,730.50,
20121227,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2546.63,2558.38,2525.70,2525.92,,-0.55,8915.35,761.34,
20121228,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2527.90,2557.62,2527.08,2557.62,,1.26,7532.03,671.80,
20121231,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2562.94,2598.01,2562.94,2598.01,,1.58,8940.06,828.04,
20130104,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2625.01,2625.01,2573.95,2596.53,,-0.06,10574.52,944.00,
20130107,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2591.50,2615.07,2591.50,2614.78,,0.70,8848.39,800.64,
20130108,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2613.83,2620.28,2591.53,2611.98,,-0.11,8999.24,861.55,
20130109,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2604.77,2620.98,2593.11,2611.89,,0.00,8659.51,817.04,
20130110,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2611.62,2636.25,2607.43,2618.16,,0.24,8510.76,758.55,
20130111,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2620.75,2623.51,2566.36,2571.24,,-1.79,9181.45,812.63,
20130114,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2562.66,2669.51,2562.66,2664.92,,3.64,10988.40,1032.15,
20130115,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2666.97,2697.58,2666.97,2688.30,,0.88,12325.95,1155.39,
20130116,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2683.05,2690.68,2635.78,2672.69,,-0.58,11153.07,1038.16,
20130117,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2666.97,2666.97,2634.44,2644.94,,-1.04,8417.28,777.78,
20130118,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2659.32,2691.28,2649.47,2687.56,,1.61,9034.69,828.72,
20130121,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2697.39,2706.91,2686.82,2706.91,,0.72,9951.81,933.05,
20130122,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2706.22,2712.65,2676.37,2688.98,,-0.66,11879.80,1074.71,
20130123,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2680.51,2702.34,2671.57,2702.34,,0.50,8763.96,785.99,
20130124,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2701.51,2748.43,2662.03,2672.08,,-1.12,12171.80,1119.90,
20130125,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2670.07,2679.13,2661.71,2664.57,,-0.28,6710.92,652.44,
20130128,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2669.20,2741.46,2669.20,2741.46,,2.89,9985.44,1015.66,
20130129,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2744.65,2769.14,2736.22,2763.05,,0.79,10743.30,1068.34,
20130130,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2765.08,2774.33,2752.73,2774.10,,0.40,11182.12,1040.13,
20130131,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2776.49,2776.72,2758.84,2773.42,,-0.02,10456.85,954.20,
20130201,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2764.15,2824.81,2763.10,2824.81,,1.85,10940.39,1070.50,
20130204,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2833.49,2846.50,2815.69,2825.93,,0.04,13180.37,1297.67,
20130205,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2807.24,2852.80,2807.24,2850.31,,0.86,12092.05,1099.79,
20130206,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2851.34,2864.96,2848.95,2857.18,,0.24,9008.03,883.83,
20130207,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2852.58,2852.62,2810.75,2844.17,,-0.46,9683.70,967.12,
20130208,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2840.26,2878.21,2840.26,2862.63,,0.65,8716.91,883.67,
20130218,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2875.80,2875.80,2840.09,2840.32,,-0.78,9033.87,888.65,
20130219,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2837.91,2839.06,2781.53,2789.58,,-1.79,9492.72,888.73,
20130220,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2789.47,2814.30,2777.80,2814.30,,0.89,8517.75,831.87,
20130221,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2788.52,2788.52,2702.27,2725.71,,-3.15,11699.20,1142.34,
20130222,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2722.40,2732.25,2706.32,2710.35,,-0.56,7457.03,760.34,
20130225,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2730.23,2733.96,2709.99,2722.70,,0.46,6465.87,639.21,
20130226,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2706.61,2744.37,2683.89,2685.10,,-1.38,9223.16,917.05,
20130227,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2691.82,2721.69,2686.74,2704.45,,0.72,7240.24,715.88,
20130228,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2720.67,2780.63,2705.24,2780.63,,2.82,9396.62,940.37,
20130301,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2787.42,2790.59,2746.97,2783.77,,0.11,8747.42,904.93,
20130304,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2742.41,2742.41,2658.26,2669.09,,-4.12,12738.79,1240.96,
20130305,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2672.05,2746.93,2672.05,2746.93,,2.92,9879.84,980.27,
20130306,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2758.79,2783.00,2753.52,2782.25,,1.29,11507.48,1089.24,
20130307,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2770.88,2781.89,2731.55,2746.61,,-1.28,10951.64,1072.15,
20130308,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,2749.39,2760.63,2729.53,2733.58,,-0.47,7096.33,709.18,
