日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20121027,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2241.80,2248.14,2227.65,2235.85,-12.05,-0.54,2758.13,253.29,300
20121029,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2241.80,2248.14,2227.65,2235.85,-12.05,-0.54,2758.13,253.29,300
20121030,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2236.32,2257.95,2231.78,2239.88,4.03,0.18,3408.31,295.17,300
20121031,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2241.43,2256.10,2233.68,2254.82,14.94,0.67,3716.98,306.34,300
20121101,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2256.61,2305.63,2256.41,2297.88,43.06,1.91,5076.17,456.02,300
20121102,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2297.90,2309.67,2284.72,2306.77,8.89,0.39,3983.33,348.94,300
20121105,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2302.74,2318.23,2290.14,2301.88,-4.89,-0.21,3951.04,336.63,300
20121106,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2301.98,2304.05,2260.51,2292.21,-9.67,-0.42,3928.06,344.73,300
20121107,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2288.76,2300.89,2277.02,2287.51,-4.70,-0.21,3306.74,302.78,300
20121108,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2269.58,2275.40,2245.40,2245.41,-42.10,-1.84,3542.65,304.12,300
20121109,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2241.76,2252.20,2235.23,2240.92,-4.48,-0.20,3050.70,243.74,300
20121112,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2242.96,2254.70,2232.74,2251.85,10.92,0.49,3472.17,290.41,300
20121113,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2250.84,2250.84,2208.72,2212.44,-39.41,-1.75,3408.37,288.18,300
20121114,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2213.09,2225.12,2206.00,2223.11,10.67,0.48,2675.88,235.92,300
20121115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2210.75,2220.99,2193.52,2193.62,-29.49,-1.33,2831.92,237.79,300
20121116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2189.51,2191.61,2162.98,2177.24,-16.38,-0.75,3024.78,261.18,300
20121119,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2175.18,2176.49,2149.54,2174.99,-2.26,-0.10,2697.87,267.37,300
20121120,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2180.21,2184.33,2163.53,2164.88,-10.10,-0.46,2394.89,229.99,300
20121121,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2165.41,2195.46,2151.38,2194.90,30.02,1.39,3050.85,271.22,300
20121122,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2181.18,2185.58,2169.66,2177.55,-17.35,-0.79,2291.24,215.36,300
20121123,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2184.41,2202.47,2179.73,2192.68,15.13,0.69,2866.75,263.08,300
20121126,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2187.24,2191.36,2172.10,2175.60,-17.08,-0.78,2474.27,222.31,300
20121127,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2168.59,2173.46,2150.22,2150.64,-24.96,-1.15,3194.67,261.50,300
20121128,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2142.50,2144.80,2126.03,2129.16,-21.48,-1.00,3000.93,244.23,300
20121129,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2128.80,2140.88,2114.48,2115.68,-13.49,-0.63,2967.06,240.16,300
20121130,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2114.24,2142.86,2109.96,2139.66,23.99,1.13,3640.69,285.52,300
20121203,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2136.70,2152.61,2108.15,2108.85,-30.81,-1.44,4018.68,341.74,300
20121204,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2104.93,2135.66,2102.14,2131.47,22.62,1.07,3622.59,317.32,300
20121205,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2128.39,2219.09,2126.79,2207.88,76.41,3.58,8248.71,691.09,300
20121206,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2205.61,2216.98,2191.23,2203.60,-4.28,-0.19,4857.47,427.59,300
20121207,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2203.89,2250.53,2198.11,2246.76,43.16,1.96,7616.97,649.96,300
20121210,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2254.92,2276.28,2250.44,2271.05,24.29,1.08,7337.55,614.00,300
20121211,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2263.21,2274.99,2254.30,2258.50,-12.55,-0.55,5146.87,450.88,300
20121212,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2257.73,2273.21,2247.95,2267.77,9.27,0.41,4500.65,391.83,300
20121213,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2260.60,2266.72,2242.56,2242.64,-25.13,-1.11,4194.21,366.66,300
20121214,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2245.64,2357.11,2245.64,2355.87,113.23,5.05,11089.26,939.35,300
20121217,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2359.20,2380.00,2358.66,2366.70,10.84,0.46,9408.82,850.01,300
20121218,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2361.10,2398.63,2347.08,2368.12,1.42,0.06,8578.48,788.03,300
20121219,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2362.80,2387.14,2358.03,2371.11,2.99,0.13,6329.25,611.41,300
20121220,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2361.32,2391.92,2346.55,2384.82,13.71,0.58,6565.55,630.29,300
20121221,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2386.38,2414.22,2365.03,2372.00,-12.81,-0.54,6871.42,668.88,300
20121224,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2368.01,2396.73,2367.04,2381.22,9.22,0.39,5308.70,541.22,300
20121225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2373.88,2459.30,2365.41,2448.40,67.18,2.82,9550.24,898.78,300
20121226,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2445.99,2458.01,2441.64,2457.62,9.22,0.38,7159.18,684.06,300
20121227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2464.78,2479.79,2443.68,2444.59,-13.03,-0.53,7325.51,693.28,300
20121228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2448.08,2481.59,2444.38,2480.05,35.46,1.45,6716.63,660.53,300
20121231,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2485.56,2522.95,2485.56,2522.95,42.90,1.73,8200.23,811.49,300
20130104,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2551.81,2558.53,2498.89,2524.41,1.46,0.06,9798.82,955.79,300
20130107,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2518.05,2545.97,2511.60,2535.99,11.58,0.46,7516.80,731.68,300
20130108,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2534.65,2540.51,2502.49,2525.33,-10.66,-0.42,7183.71,764.98,300
20130109,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2518.10,2534.24,2504.30,2526.13,0.80,0.03,7023.12,742.34,300
20130110,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2525.59,2553.35,2513.73,2530.57,4.44,0.18,7108.59,711.59,300
20130111,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2533.50,2539.79,2473.70,2483.23,-47.34,-1.87,7423.92,727.76,300
20130114,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2474.18,2583.63,2474.00,2577.73,94.50,3.81,9355.41,968.53,300
